FIPS,Admin2,Province_State,Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,Combined_Key,Incident_Rate,Case_Fatality_Ratio
,,,Afghanistan,2022-08-26 04:21:02,33.93911,67.709953,191967,7771,,,Afghanistan,493.1291574947928,4.048091599076924
,,,Albania,2022-08-26 04:21:02,41.1533,20.1683,327607,3579,,,Albania,11383.939120161234,1.0924674991682106
,,,Algeria,2022-08-26 04:21:02,28.0339,1.6596,270097,6878,,,Algeria,615.9420198967673,2.5464925563778937
,,,Andorra,2022-08-26 04:21:02,42.5063,1.5218,46027,154,,,Andorra,59570.30997217369,0.3345862211310752
,,,Angola,2022-08-26 04:21:02,-11.2027,17.8739,102636,1917,,,Angola,312.28370680845177,1.867765696246931
,,,Antarctica,2022-08-26 04:21:02,-71.9499,23.347,11,0,,,Antarctica,,0.0
,,,Antigua and Barbuda,2022-08-26 04:21:02,17.0608,-61.7964,8949,145,,,Antigua and Barbuda,9138.346540315331,1.6202927701419152
,,,Argentina,2022-08-26 04:21:02,-38.4161,-63.6167,9658391,129646,,,Argentina,21370.118274545872,1.3423146774654289
,,,Armenia,2022-08-26 04:21:02,40.0691,45.0382,432274,8648,,,Armenia,14587.913070651864,2.000582963583283
,,Australian Capital Territory,Australia,2022-08-26 04:21:02,-35.4735,149.0124,201579,121,,,"Australian Capital Territory, Australia",47086.895585143655,0.06002609398796502
,,New South Wales,Australia,2022-08-26 04:21:02,-33.8688,151.2093,3411500,4796,,,"New South Wales, Australia",42023.89751170239,0.14058332111974206
,,Northern Territory,Australia,2022-08-26 04:21:02,-12.4634,130.8456,95344,68,,,"Northern Territory, Australia",38820.84690553746,0.07132069139117302
,,Queensland,Australia,2022-08-26 04:21:02,-27.4698,153.0251,1597470,1919,,,"Queensland, Australia",31228.03245039585,0.12012745153273614
,,South Australia,Australia,2022-08-26 04:21:02,-34.9285,138.6007,750458,774,,,"South Australia, Australia",42724.62282949047,0.10313701766121489
,,Tasmania,Australia,2022-08-26 04:21:02,-42.8821,147.3272,244474,177,,,"Tasmania, Australia",45653.40802987862,0.07240033705015667
,,Victoria,Australia,2022-08-26 04:21:02,-37.8136,144.9631,2552085,5214,,,"Victoria, Australia",38493.56702212704,0.20430354004666773
,,Western Australia,Australia,2022-08-26 04:21:02,-31.9505,115.8605,1123826,578,,,"Western Australia, Australia",42721.28031627765,0.051431449352479834
,,,Austria,2022-08-26 04:21:02,47.5162,14.5501,4929134,20604,,,Austria,54729.23698703144,0.4180044608241529
,,,Azerbaijan,2022-08-26 04:21:02,40.1431,47.5769,810589,9795,,,Azerbaijan,7994.624809217713,1.2083805726453234
,,,Bahamas,2022-08-26 04:21:02,25.025885,-78.035889,37032,823,,,Bahamas,9416.958255350311,2.2224022467055518
,,,Bahrain,2022-08-26 04:21:02,26.0275,50.55,670577,1513,,,Bahrain,39409.009140312286,0.22562658725247065
,,,Bangladesh,2022-08-26 04:21:02,23.685,90.3563,2010748,29320,,,Bangladesh,1220.9335923008468,1.4581638275905284
,,,Barbados,2022-08-26 04:21:02,13.1939,-59.5432,100373,537,,,Barbados,34928.01987674469,0.5350044334631824
,,,Belarus,2022-08-26 04:21:02,53.7098,27.9534,994037,7118,,,Belarus,10519.665910386577,0.7160699249625517
,,Antwerp,Belgium,2022-08-26 04:21:02,51.2195,4.4024,720596,0,,,"Antwerp, Belgium",38783.71527019041,0.0
,,Brussels,Belgium,2022-08-26 04:21:02,50.8503,4.3517,485167,0,,,"Brussels, Belgium",40144.81912916555,0.0
,,East Flanders,Belgium,2022-08-26 04:21:02,51.0362,3.7373,606788,0,,,"East Flanders, Belgium",40050.32130655867,0.0
,,Flemish Brabant,Belgium,2022-08-26 04:21:02,50.9167,4.5833,437348,0,,,"Flemish Brabant, Belgium",38157.17495146902,0.0
,,Hainaut,Belgium,2022-08-26 04:21:02,50.5257,4.0621,491928,0,,,"Hainaut, Belgium",36595.223624335216,0.0
,,Liege,Belgium,2022-08-26 04:21:02,50.4496,5.8492,400227,0,,,"Liege, Belgium",36154.4618208623,0.0
,,Limburg,Belgium,2022-08-26 04:21:02,50.9739,5.342,329833,0,,,"Limburg, Belgium",37736.25704766786,0.0
,,Luxembourg,Belgium,2022-08-26 04:21:02,50.0547,5.4677,115756,0,,,"Luxembourg, Belgium",40667.79558597236,0.0
,,Namur,Belgium,2022-08-26 04:21:02,50.331,4.8221,191353,0,,,"Namur, Belgium",38709.95802356749,0.0
,,Unknown,Belgium,2022-08-26 04:21:02,,,60603,32496,,,"Unknown, Belgium",,53.62110786594723
,,Walloon Brabant,Belgium,2022-08-26 04:21:02,50.4,4.35,164389,0,,,"Walloon Brabant, Belgium",40730.77485325781,0.0
,,West Flanders,Belgium,2022-08-26 04:21:02,51.0536,3.1458,473782,0,,,"West Flanders, Belgium",39620.6376338439,0.0
,,,Belize,2022-08-26 04:21:02,17.1899,-88.4976,68111,680,,,Belize,17129.628465297355,0.9983703072925079
,,,Benin,2022-08-26 04:21:02,9.3077,2.3158,27316,163,,,Benin,225.3200846839258,0.5967198711377947
,,,Bhutan,2022-08-26 04:21:02,27.5142,90.4336,60898,21,,,Bhutan,7892.308569591971,0.034483891096587733
,,,Bolivia,2022-08-26 04:21:02,-16.2902,-63.5887,1096844,22183,,,Bolivia,9396.39574269883,2.0224389247696117
,,,Bosnia and Herzegovina,2022-08-26 04:21:02,43.9159,17.6791,394866,16021,,,Bosnia and Herzegovina,12035.607006185965,4.057325776339315
,,,Botswana,2022-08-26 04:21:02,-22.3285,24.6849,325864,2778,,,Botswana,13856.971243289216,0.8525028846389905
,,Acre,Brazil,2022-08-26 04:21:02,-9.0238,-70.812,148768,2027,,,"Acre, Brazil",16868.363314756756,1.36252419875242
,,Alagoas,Brazil,2022-08-26 04:21:02,-9.5713,-36.782,319945,7113,,,"Alagoas, Brazil",9586.777800516997,2.2231946115738643
,,Amapa,Brazil,2022-08-26 04:21:02,0.902,-52.003,178037,2158,,,"Amapa, Brazil",21051.256250509912,1.212107595612148
,,Amazonas,Brazil,2022-08-26 04:21:02,-3.4168,-65.8561,612975,14272,,,"Amazonas, Brazil",14789.737096272567,2.3283168155308127
,,Bahia,Brazil,2022-08-26 04:21:02,-12.5797,-41.7007,1683395,30617,,,"Bahia, Brazil",11318.414282356343,1.8187650551415444
,,Ceara,Brazil,2022-08-26 04:21:02,-5.4984,-39.3206,1379242,27541,,,"Ceara, Brazil",15103.265653228103,1.996821442502476
,,Distrito Federal,Brazil,2022-08-26 04:21:02,-15.7998,-47.8645,836707,11825,,,"Distrito Federal, Brazil",27749.0093749544,1.4132784833878527
,,Espirito Santo,Brazil,2022-08-26 04:21:02,-19.1834,-40.3089,1213570,14777,,,"Espirito Santo, Brazil",30198.449728142536,1.2176471072950057
,,Goias,Brazil,2022-08-26 04:21:02,-15.827,-49.8362,1670745,27434,,,"Goias, Brazil",23805.368039286703,1.6420219722339435
,,Maranhao,Brazil,2022-08-26 04:21:02,-4.9609,-45.2744,467848,10984,,,"Maranhao, Brazil",6612.523411061851,2.347771070946119
,,Mato Grosso,Brazil,2022-08-26 04:21:02,-12.6819,-56.9211,824681,14916,,,"Mato Grosso, Brazil",23667.356777193407,1.8086993637539848
,,Mato Grosso do Sul,Brazil,2022-08-26 04:21:02,-20.7722,-54.7852,575771,10786,,,"Mato Grosso do Sul, Brazil",20718.744175033626,1.873314216936942
,,Minas Gerais,Brazil,2022-08-26 04:21:02,-18.5122,-44.555,3867474,63465,,,"Minas Gerais, Brazil",18269.697121578647,1.640993578754505
,,Para,Brazil,2022-08-26 04:21:02,-1.9981,-54.9306,828996,18657,,,"Para, Brazil",9636.278146873165,2.2505536818030487
,,Paraiba,Brazil,2022-08-26 04:21:02,-7.24,-36.782,650362,10395,,,"Paraiba, Brazil",16185.700451976754,1.5983406164566811
,,Parana,Brazil,2022-08-26 04:21:02,-25.2521,-52.0215,2729490,45076,,,"Parana, Brazil",23871.788218199526,1.6514440426599841
,,Pernambuco,Brazil,2022-08-26 04:21:02,-8.8137,-36.9541,1045320,22173,,,"Pernambuco, Brazil",10937.660712157522,2.121168637355068
,,Piaui,Brazil,2022-08-26 04:21:02,-7.7183,-42.7289,396312,7929,,,"Piaui, Brazil",12107.684557166369,2.000696421001635
,,Rio Grande do Norte,Brazil,2022-08-26 04:21:02,-5.4026,-36.9541,551182,8439,,,"Rio Grande do Norte, Brazil",15717.282703324034,1.5310732208236117
,,Rio Grande do Sul,Brazil,2022-08-26 04:21:02,-30.0346,-51.2177,2702578,40801,,,"Rio Grande do Sul, Brazil",23754.251800458795,1.5097066578651939
,,Rio de Janeiro,Brazil,2022-08-26 04:21:02,-22.9068,-43.1729,2480042,75351,,,"Rio de Janeiro, Brazil",14364.611571552829,3.038295319192175
,,Rondonia,Brazil,2022-08-26 04:21:02,-11.5057,-63.5806,454049,7345,,,"Rondonia, Brazil",25548.20014348212,1.6176668156961034
,,Roraima,Brazil,2022-08-26 04:21:02,-2.7376,-62.0751,174522,2167,,,"Roraima, Brazil",28810.37240759969,1.2416772670494265
,,Santa Catarina,Brazil,2022-08-26 04:21:02,-27.2423,-50.2189,1859669,22342,,,"Santa Catarina, Brazil",25955.67377569301,1.2013965926194392
,,Sao Paulo,Brazil,2022-08-26 04:21:02,-23.5505,-46.6333,6013105,174019,,,"Sao Paulo, Brazil",13095.012050445555,2.8939956977302077
,,Sergipe,Brazil,2022-08-26 04:21:02,-10.5741,-37.3857,342610,6428,,,"Sergipe, Brazil",14904.537181080055,1.8761857505618633
,,Tocantins,Brazil,2022-08-26 04:21:02,-10.1753,-48.2982,343244,4196,,,"Tocantins, Brazil",21822.838054862907,1.2224539977392175
,,,Brunei,2022-08-26 04:21:02,4.5353,114.7277,220245,225,,,Brunei,50343.67049691074,0.10215895934073418
,,,Bulgaria,2022-08-26 04:21:02,42.7339,25.4858,1238531,37578,,,Bulgaria,17824.57801709591,3.034078274988676
,,,Burkina Faso,2022-08-26 04:21:02,12.2383,-1.5616,21128,387,,,Burkina Faso,101.0750562662947,1.8316925407042788
,,,Burma,2022-08-26 04:21:02,21.9162,95.956,614573,19437,,,Burma,1129.5264231288947,3.1626836844443216
,,,Burundi,2022-08-26 04:21:02,-3.3731,29.9189,49063,38,,,Burundi,412.61377196333865,0.07745143998532499
,,,Cabo Verde,2022-08-26 04:21:02,16.5388,-23.0418,62301,410,,,Cabo Verde,11205.45767174831,0.6580953756761528
,,,Cambodia,2022-08-26 04:21:02,11.55,104.9167,137497,3056,,,Cambodia,822.4010915504309,2.222593947504309
,,,Cameroon,2022-08-26 04:21:02,3.848,11.5021,120967,1933,,,Cameroon,455.6905738686825,1.5979564674663338
,,Alberta,Canada,2022-08-26 04:21:02,53.9333,-116.5765,601337,4748,,,"Alberta, Canada",13626.039111327837,0.789573899493961
,,British Columbia,Canada,2022-08-26 04:21:02,53.7267,-127.6476,381788,4097,,,"British Columbia, Canada",7470.048916857777,1.073108636206481
,,Diamond Princess,Canada,2020-12-21 13:27:30,,,0,1,,,"Diamond Princess, Canada",,
,,Grand Princess,Canada,2020-12-21 13:27:30,,,13,0,,,"Grand Princess, Canada",,0.0
,,Manitoba,Canada,2022-08-26 04:21:02,53.7609,-98.8139,147806,2105,,,"Manitoba, Canada",10729.885729177931,1.4241641070051283
,,New Brunswick,Canada,2022-08-26 04:21:02,46.5653,-66.4619,73643,456,,,"New Brunswick, Canada",9441.494987775532,0.619203454503483
,,Newfoundland and Labrador,Canada,2022-08-26 04:21:02,53.1355,-57.6604,50430,219,,,"Newfoundland and Labrador, Canada",9672.686122006657,0.43426531826293874
,,Northwest Territories,Canada,2022-08-26 04:21:02,64.8255,-124.8457,11511,22,,,"Northwest Territories,Canada",25634.687332977017,0.1911215359221614
,,Nova Scotia,Canada,2022-08-26 04:21:02,44.682,-63.7443,118671,481,,,"Nova Scotia, Canada",12140.789825025551,0.40532227755728023
,,Nunavut,Canada,2022-08-26 04:21:02,70.2998,-83.1076,3531,7,,,"Nunavut, Canada",9105.20887055183,0.19824412347776835
,,Ontario,Canada,2022-08-26 04:21:02,51.2538,-85.3232,1424817,14000,,,"Ontario, Canada",9684.84063875955,0.9825823246073004
,,Prince Edward Island,Canada,2022-08-26 04:21:02,46.5107,-63.4168,49411,52,,,"Prince Edward Island, Canada",31241.543266859724,0.10523972394810872
,,Quebec,Canada,2022-08-26 04:21:02,52.9399,-73.5491,1173563,16306,,,"Quebec, Canada",13745.699355585608,1.3894439412285493
,,Repatriated Travellers,Canada,2022-08-26 04:21:02,,,13,0,,,"Repatriated Travellers, Canada",,0.0
,,Saskatchewan,Canada,2022-08-26 04:21:02,52.9399,-106.4509,141815,1479,,,"Saskatchewan, Canada",12001.2761643307,1.0429080139618516
,,Yukon,Canada,2022-08-26 04:21:02,64.2823,-135.0,4813,30,,,"Yukon, Canada",11716.73401820926,0.6233118637024725
,,,Central African Republic,2022-08-26 04:21:02,6.6111,20.9394,14862,113,,,Central African Republic,307.7168987967114,0.7603283541918988
,,,Chad,2022-08-26 04:21:02,15.4542,18.7322,7491,193,,,Chad,45.60492087506656,2.5764250433853957
,,Antofagasta,Chile,2022-08-26 04:21:02,-23.6509,-70.3975,161269,1853,,,"Antofagasta, Chile",26544.85181076285,1.1490118993730971
,,Araucania,Chile,2022-08-26 04:21:02,-38.9489,-72.3311,255975,2677,,,"Araucania, Chile",26741.38968517296,1.045805254419377
,,Arica y Parinacota,Chile,2022-08-26 04:21:02,-18.594,-69.4785,70833,847,,,"Arica y Parinacota, Chile",31332.60788789214,1.1957703330368614
,,Atacama,Chile,2022-08-26 04:21:02,-27.5661,-70.0503,97393,663,,,"Atacama, Chile",33706.5313694003,0.6807470762785827
,,Aysen,Chile,2022-08-26 04:21:02,-45.9864,-73.7669,30587,194,,,"Aysen, Chile",29650.633009558154,0.6342563834308693
,,Biobio,Chile,2022-08-26 04:21:02,-37.4464,-72.1416,434033,4451,,,"Biobio, Chile",27879.728032733707,1.0254980612073274
,,Coquimbo,Chile,2022-08-26 04:21:02,-29.959,-71.3389,179896,1798,,,"Coquimbo, Chile",23745.950954743093,0.9994663583403745
,,Los Lagos,Chile,2022-08-26 04:21:02,-41.9198,-72.1416,220204,2394,,,"Los Lagos, Chile",26571.96503472876,1.087173711649198
,,Los Rios,Chile,2022-08-26 04:21:02,-40.231,-72.3311,126830,1287,,,"Los Rios, Chile",32956.810285913256,1.0147441457068518
,,Magallanes,Chile,2022-08-26 04:21:02,-52.368,-70.9863,60867,742,,,"Magallanes, Chile",36549.51270919277,1.2190513743079172
,,Maule,Chile,2022-08-26 04:21:02,-35.5183,-71.6885,295735,3070,,,"Maule, Chile",28301.35413177664,1.0380915346509545
,,Metropolitana,Chile,2022-08-26 04:21:02,-33.4376,-70.6505,1704602,29396,,,"Metropolitana, Chile",23965.2469179542,1.724508125650445
,,Nuble,Chile,2022-08-26 04:21:02,-36.7226,-71.7622,127275,1179,,,"Nuble, Chile",26482.02592960182,0.9263406010606954
,,OHiggins,Chile,2022-08-26 04:21:02,-34.5755,-71.0022,190821,2649,,,"OHiggins, Chile",20864.901509477288,1.3882119892464666
,,Tarapaca,Chile,2022-08-26 04:21:02,-19.9232,-69.5132,100120,1117,,,"Tarapaca, Chile",30288.179381530623,1.1156612065521374
,,Unknown,Chile,2022-08-26 04:21:02,,,42,2,,,"Unknown, Chile",,4.761904761904762
,,Valparaiso,Chile,2022-08-26 04:21:02,-33.0472,-71.6127,414636,6002,,,"Valparaiso, Chile",22833.611064914297,1.4475347051389653
