latitude,longitude,location,count
31.1728205,-7.3362482,Morocco,20
-28.8166236,24.991639,South Africa,3
46.603354,1.8883335,France,113
55.670249,10.3333283,Denmark,1
31.5313113,34.8667654,Holy See (Vatican City State),1
14.8971921,100.83273,Israel,3
-21.3019905,165.4880773,Thailand,3
-6.8699697,-75.0458515,New Caledonia,10
5.7499721,-9.3658524,Peru,1
36.5748441,139.2394179,Liberia,1
8.559559,-81.1308434,Japan,12
9.5293472,2.2584408,Panama,27
22.3511148,78.6677428,Benin,1
54.7023545,-3.2765753,India,86
-0.8999695,11.6899699,United Kingdom,16
22.2793278,114.1628131,Gabon,4
40.0332629,-7.8896263,Hong Kong,1
32.3293809,-83.1137366,Portugal,1
1.5333554,32.2166578,Georgia,1
30.3308401,71.247499,Uganda,1
46.6745434,29.7521996,Pakistan,7
40.3936294,47.7872508,"Moldova, Republic of",10
9.6000359,7.9999721,Azerbaijan,1
1.357107,103.8194992,Nigeria,19
-34.9964963,-64.9672817,Singapore,4
38.9597594,34.9249653,Argentina,1
-24.7761086,134.755,Turkey,6
39.7837304,-100.445882,Australia,5
42.6384261,12.674297,United States,62
52.15517,5.38721,Italy,1
22.1757605,113.5514142,Netherlands,1
35.000074,104.999927,Macao,2
33.8439408,9.400138,China,1
25.6242618,42.3528328,Tunisia,9
46.8250388,103.8499736,Saudi Arabia,1
51.0834196,10.4234469,Mongolia,1
26.2540493,29.2675469,Germany,11
4.099917,-72.9088133,Egypt,1
18.19897685,-66.26152219418967,Colombia,3
52.865196,-7.9794599,Puerto Rico,5
50.6402809,4.6667145,Ireland,7
4.5693754,102.2656823,Belgium,11
60.5000209,9.0999715,Malaysia,1
1.4419683,38.4313975,Norway,2
24.0002488,53.9994829,Kenya,7
61.0666922,-107.991707,United Arab Emirates,4
46.7985624,8.2319736,Canada,419
24.4769288,90.2934413,Switzerland,4
59.6749712,14.5208584,Bangladesh,26
8.0300284,-1.0800271,Sweden,5
18.1850507,-77.3947693,Ghana,6
,,Jamaica,1
