latitude,longitude,location,count
-28.8166236,24.991639,South Africa,5
46.603354,1.8883335,France,70
31.1728205,-7.3362482,Morocco,19
31.5313113,34.8667654,Israel,5
14.8971921,100.83273,Thailand,5
-21.3019905,165.4880773,New Caledonia,7
47.2,13.2,Austria,1
-41.5000831,172.8344077,New Zealand,4
36.5748441,139.2394179,Japan,7
8.559559,-81.1308434,Panama,24
22.3511148,78.6677428,India,96
54.7023545,-3.2765753,United Kingdom,20
-4.6574977,55.4540146,Seychelles,1
-0.8999695,11.6899699,Gabon,3
22.2793278,114.1628131,Hong Kong,2
40.0332629,-7.8896263,Portugal,1
1.5333554,32.2166578,Uganda,1
30.3308401,71.247499,Pakistan,4
45.5643442,17.0118954,Croatia,1
46.6745434,29.7521996,"Moldova, Republic of",13
40.3936294,47.7872508,Azerbaijan,1
9.6000359,7.9999721,Nigeria,17
1.357107,103.8194992,Singapore,3
38.9597594,34.9249653,Turkey,8
-24.7761086,134.755,Australia,3
39.7837304,-100.445882,United States,75
42.6384261,12.674297,Italy,1
52.15517,5.38721,Netherlands,1
22.1757605,113.5514142,Macao,1
39.3260685,-4.8379791,Spain,2
33.8439408,9.400138,Tunisia,5
25.6242618,42.3528328,Saudi Arabia,1
51.0834196,10.4234469,Germany,11
26.2540493,29.2675469,Egypt,3
23.6585116,-102.0077097,Mexico,1
-10.3333333,-53.2,Brazil,1
4.099917,-72.9088133,Colombia,4
18.19897685,-66.26152219418967,Puerto Rico,7
52.865196,-7.9794599,Ireland,2
60.5000209,9.0999715,Norway,3
1.4419683,38.4313975,Kenya,3
50.6402809,4.6667145,Belgium,3
46.7985624,8.2319736,Switzerland,2
-2.4833826,117.8902853,Indonesia,5
61.0666922,-107.991707,Canada,582
24.0002488,53.9994829,United Arab Emirates,3
24.4769288,90.2934413,Bangladesh,9
8.0300284,-1.0800271,Holy See (Vatican City State),3
,,Ghana,2
